Word,Article Num.,Def. Num.,Abreviations,Definition
regular,Article1,Def1,['verbo transitivo'],"Medir, ajustar o computar algo por comparación o deducción."
regular,Article1,Def2,['verbo transitivo'],"Ajustar, reglar o poner en orden algo."
regular,Article1,Def3,['verbo transitivo'],Ajustar el funcionamiento de un sistema a determinados fines.
regular,Article1,Def4,['verbo transitivo'],Determinar las reglas o normas a que debe ajustarse alguien o algo.
regular,Article1,Def5,"['verbo transitivo', 'Economía']",reajustar (‖ aumentar o disminuir coyunturalmente).
regular,Article2,Def1,['adjetivo'],Ajustado a una regla y conforme a ella.
regular,Article2,Def2,['adjetivo'],"Uniforme, sin cambios grandes o bruscos."
regular,Article2,Def3,['adjetivo'],Que se hace o se produce a intervalos regulares (‖ uniformes).
regular,Article2,Def4,['adjetivo'],"Ajustado, medido, arreglado en las acciones y modo de vivir."
regular,Article2,Def5,['adjetivo'],De tamaño o condición media o inferior a ella.
regular,Article2,Def6,"['adjetivo', 'Aplicado a persona', 'usado también como sustantivo']",Dicho de una persona o de una cosa: Que pertenece a una regla o instituto religioso.
regular,Article2,Def7,['adjetivo'],Dicho de un ejército: Que está encuadrado y dirigido legalmente por mandos profesionales.
regular,Article2,Def8,['adjetivo'],"En cristalografía, cúbico."
regular,Article2,Def9,"['adjetivo', 'Geometría']",Dicho de un polígono: De lados y ángulos iguales entre sí.
regular,Article2,Def10,"['adjetivo', 'Geometría']",Dicho de un poliedro: De caras y ángulos iguales entre sí.
regular,Article2,Def11,"['adjetivo', 'Gramática']",Que se ajusta en su flexión o en su derivación a las formas fijadas como modelo de un paradigma.
regular,Article2,Def12,"['nombre masculino', 'plural']","Unidades de infantería situadas en Ceuta y Melilla, ciudades autónomas españolas del norte de África."
regular,Article2,Def13,"['nombre masculino', 'plural']",Unidades de soldados marroquíes que estaban encuadradas en cuerpos militares españoles del antiguo protectorado de Marruecos.
regular,Article2,Def14,['adverbio'],"Medianamente, no demasiado bien."
